"age","degree","familiarity","confidence","redistribution","gender_female","gender_male","gender_other","field_of_study_econ","field_of_study_engineer","field_of_study_law","field_of_study_med","field_of_study_na","field_of_study_natural","field_of_study_other","field_of_study_other_social","field_of_study_politics","field_of_study_psych","employment_full","employment_no","employment_part","self_x","self_y","self_z_mis","other_x","other_y","other_z_mis","trust"
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1060,680,1200,330,330,190,1
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,790,410,930,600,600,460,1
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,890,850,1030,140,520,0,1
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,710,490,850,440,760,300,1
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,660,540,800,780,420,640,0
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,980,760,1120,170,490,30,1
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,740,460,880,460,740,320,1
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,440,220,580,710,1030,570,0
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1010,730,1150,190,470,50,1
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,390,270,530,1050,690,910,0
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,350,310,490,680,1060,540,0
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,470,190,610,730,1010,590,0
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,520,140,660,870,870,730,0
51,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,930,810,1070,510,150,370,1
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1010,730,1150,190,470,50,0
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,710,490,850,440,760,300,1
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,790,410,930,600,600,460,0
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1060,680,1200,330,330,190,0
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,740,460,880,460,740,320,1
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,620,580,760,410,790,270,0
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,440,220,580,710,1030,570,0
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,390,270,530,1050,690,910,1
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,980,760,1120,170,490,30,1
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,660,540,800,780,420,640,1
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,890,850,1030,140,520,0,1
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,520,140,660,870,870,730,1
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,470,190,610,730,1010,590,1
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,350,310,490,680,1060,540,1
35,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,930,810,1070,510,150,370,0
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,620,580,760,410,790,270,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,660,540,800,780,420,640,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1060,680,1200,330,330,190,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1010,730,1150,190,470,50,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,980,760,1120,170,490,30,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,890,850,1030,140,520,0,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,350,310,490,680,1060,540,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,440,220,580,710,1030,570,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,710,490,850,440,760,300,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,390,270,530,1050,690,910,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,520,140,660,870,870,730,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,930,810,1070,510,150,370,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,790,410,930,600,600,460,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,470,190,610,730,1010,590,1
35,2,3,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,740,460,880,460,740,320,1
