"age","degree","familiarity","confidence","redistribution","gender_female","gender_male","gender_other","field_of_study_econ","field_of_study_engineer","field_of_study_law","field_of_study_med","field_of_study_na","field_of_study_natural","field_of_study_other","field_of_study_other_social","field_of_study_politics","field_of_study_psych","employment_full","employment_no","employment_part","self_x","self_y","self_z_wel","other_x","other_y","other_z_wel","trust"
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1010,730,590,190,470,610,0
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,660,540,400,780,420,560,1
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,350,310,170,680,1060,1200,1
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,710,490,350,440,760,900,0
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,980,760,620,170,490,630,0
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,470,190,50,730,1010,1150,1
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,890,850,710,140,520,660,1
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,390,270,130,1050,690,830,1
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,520,140,0,870,870,1010,1
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,620,580,440,410,790,930,1
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,930,810,670,510,150,290,1
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,790,410,270,600,600,740,1
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1060,680,540,330,330,470,1
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,740,460,320,460,740,880,0
58,1,3,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,440,220,80,710,1030,1170,1
36,3,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,660,540,400,780,420,560,1
36,3,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,740,460,320,460,740,880,0
36,3,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1010,730,590,190,470,610,0
36,3,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,890,850,710,140,520,660,0
36,3,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,620,580,440,410,790,930,1
36,3,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,980,760,620,170,490,630,0
36,3,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,470,190,50,730,1010,1150,1
36,3,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,390,270,130,1050,690,830,1
36,3,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,710,490,350,440,760,900,0
36,3,4,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,520,140,0,870,870,1010,1
